POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	26
1	3	+	28
2	3	+	30
3	5	-	28
4	6	+	26
5	7	-	68
6	9	-	34
7	10	-	24
8	12	-	26
9	13	-	50
10	13	-	52
11	13	-	54
12	15	-	22
13	16	+	46
14	16	+	48
15	17	+	36
16	18	+	64
17	18	+	66
18	18	+	78
19	18	+	79
20	18	+	70
21	30	-	38
22	18	+	72
23	18	+	74
24	19	-	28
25	19	-	30
26	23	+	50
27	24	-	62
28	24	-	64
29	25	-	60
30	25	-	62
31	25	-	64
32	25	-	66
33	26	+	34
34	26	+	36
35	26	+	38
36	27	-	38
37	27	-	40
38	28	+	34
39	29	-	28
40	32	+	16
41	33	+	80
42	33	+	82
43	33	+	84
44	34	+	22
45	35	-	50
46	35	-	46
47	36	-	78
48	36	-	80
49	36	-	82
50	37	+	56
51	37	+	58
52	38	-	34
53	4	-	34
54	4	-	38
55	39	-	18
56	40	-	38
57	40	-	40
58	41	-	40
59	42	+	140
60	42	+	154
61	42	+	155
62	42	+	144
63	42	+	146
64	42	+	148
65	42	+	150
66	42	+	157
67	43	-	34
68	44	-	34
69	45	+	38
70	46	+	42
71	46	+	44
72	46	+	46
73	48	+	46
74	48	+	48
75	48	+	50
76	49	-	76
77	49	-	78
78	49	-	80
