POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	43
1	2	+	51
2	2	+	53
3	3	+	57
4	5	-	43
5	7	-	111
6	7	-	115
7	7	-	117
8	12	-	37
9	12	-	39
10	15	-	47
11	4	-	61
12	16	+	89
13	16	+	91
14	16	+	93
15	50	-	43
16	17	+	55
17	17	+	57
18	18	+	139
19	19	-	45
20	21	-	35
21	23	+	93
22	23	+	95
23	23	+	97
24	23	+	99
25	23	+	101
26	23	+	103
27	23	+	105
28	23	+	107
29	24	-	115
30	24	-	117
31	26	+	65
32	27	-	67
33	28	+	75
34	28	+	77
35	28	+	79
36	28	+	81
37	30	-	61
38	30	-	63
39	30	-	65
40	33	+	132
41	33	+	133
42	33	+	127
43	33	+	129
44	33	+	131
45	34	+	37
46	35	-	82
47	35	-	83
48	35	-	81
49	36	-	141
50	36	-	143
51	36	-	145
52	36	-	147
53	36	-	149
54	36	-	151
55	36	-	153
56	36	-	155
57	37	+	93
58	37	+	95
59	38	-	45
60	40	-	83
61	40	-	85
62	40	-	87
63	40	-	89
64	42	+	241
65	42	+	243
66	42	+	245
67	42	+	247
68	43	-	68
69	43	-	65
70	43	-	67
71	44	-	63
72	44	-	67
73	45	+	69
74	46	+	71
75	41	-	59
76	46	+	73
77	48	+	89
78	48	+	91
79	48	+	93
80	49	-	115
81	49	-	117
