POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	7
1	2	+	15
2	3	+	7
3	5	-	7
4	6	+	7
5	7	-	7
6	9	-	9
7	10	-	7
8	12	-	7
9	13	-	13
10	13	-	15
11	15	-	7
12	16	+	7
13	17	+	9
14	18	+	7
15	19	-	9
16	21	-	7
17	23	+	7
18	24	-	9
19	24	-	11
20	25	-	8
21	25	-	9
22	26	+	7
23	27	-	10
24	27	-	11
25	28	+	7
26	29	-	7
27	30	-	7
28	32	+	7
29	33	+	25
30	33	+	27
31	33	+	29
32	34	+	7
33	35	-	11
34	35	-	13
35	36	-	15
36	36	-	17
37	37	+	9
38	37	+	11
39	38	-	9
40	39	-	7
41	40	-	7
42	41	-	7
43	42	+	21
44	42	+	26
45	42	+	27
46	42	+	28
47	42	+	29
48	43	-	7
49	44	-	7
50	45	+	7
51	46	+	9
52	48	+	9
53	48	+	11
54	49	-	13
55	49	-	15
56	50	-	7
