POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	12
1	3	+	20
2	3	+	21
3	5	-	10
4	6	+	10
5	7	-	12
6	9	-	12
7	10	-	18
8	12	-	12
9	13	-	25
10	13	-	36
11	13	-	37
12	15	-	10
13	16	+	10
14	17	+	12
15	18	+	24
16	18	+	26
17	18	+	42
18	18	+	38
19	30	-	29
20	18	+	39
21	18	+	23
22	19	-	14
23	19	-	15
24	23	+	12
25	24	-	16
26	24	-	18
27	25	-	14
28	25	-	28
29	25	-	30
30	25	-	31
31	26	+	14
32	26	+	16
33	26	+	21
34	27	-	16
35	27	-	20
36	28	+	26
37	29	-	16
38	32	+	12
39	33	+	48
40	33	+	40
41	33	+	42
42	34	+	12
43	35	-	33
44	35	-	20
45	36	-	58
46	36	-	59
47	36	-	28
48	37	+	18
49	37	+	20
50	38	-	16
51	4	-	19
52	4	-	22
53	39	-	10
54	40	-	22
55	40	-	23
56	41	-	10
57	42	+	80
58	42	+	73
59	42	+	44
60	42	+	46
61	42	+	48
62	42	+	52
63	42	+	76
64	43	-	10
65	44	-	10
66	45	+	12
67	46	+	20
68	46	+	21
69	48	+	28
70	48	+	29
71	48	+	23
72	49	-	40
73	49	-	32
74	49	-	33
75	50	-	10
