POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	45
1	3	+	59
2	3	+	61
3	3	+	63
4	3	+	65
5	5	-	45
6	6	+	37
7	7	-	119
8	9	-	74
9	9	-	75
10	9	-	59
11	9	-	61
12	10	-	43
13	12	-	53
14	13	-	87
15	13	-	89
16	13	-	91
17	15	-	49
18	16	+	95
19	16	+	97
20	18	+	141
21	18	+	143
22	18	+	145
23	18	+	198
24	18	+	199
25	18	+	149
26	18	+	151
27	30	-	67
28	18	+	153
29	18	+	155
30	19	-	47
31	19	-	49
32	23	+	109
33	24	-	123
34	41	-	61
35	24	-	125
36	24	-	129
37	25	-	103
38	25	-	105
39	25	-	107
40	25	-	109
41	26	+	67
42	26	+	69
43	27	-	69
44	27	-	71
45	28	+	86
46	28	+	87
47	29	-	43
48	32	+	23
49	33	+	135
50	33	+	137
51	33	+	139
52	34	+	39
53	35	-	88
54	35	-	89
55	35	-	87
56	36	-	157
57	36	-	159
58	36	-	161
59	37	+	99
60	4	-	68
61	4	-	69
62	4	-	65
63	39	-	31
64	39	-	34
65	39	-	35
66	40	-	91
67	42	+	253
68	42	+	255
69	42	+	257
70	42	+	259
71	42	+	261
72	42	+	263
73	42	+	326
74	43	-	75
75	43	-	73
76	44	-	69
77	44	-	71
78	45	+	71
79	46	+	86
80	46	+	87
81	46	+	82
82	46	+	83
83	48	+	95
84	48	+	97
85	49	-	125
