POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	2
1	2	+	4
2	2	+	6
3	3	+	2
4	4	-	2
5	5	-	2
6	6	+	2
7	7	-	2
8	9	-	4
9	10	-	2
10	12	-	2
11	13	-	4
12	13	-	6
13	15	-	2
14	16	+	2
15	17	+	2
16	18	+	2
17	19	-	4
18	21	-	2
19	22	-	2
20	23	+	2
21	24	-	2
22	25	-	2
23	26	+	2
24	27	-	2
25	28	+	2
26	29	-	2
27	30	-	2
28	32	+	2
29	33	+	6
30	33	+	13
31	33	+	10
32	34	+	2
33	35	-	4
34	35	-	5
35	36	-	4
36	36	-	6
37	37	+	2
38	38	-	2
39	39	-	2
40	40	-	2
41	41	-	2
42	42	+	6
43	42	+	8
44	42	+	10
45	43	-	2
46	44	-	2
47	45	+	2
48	46	+	2
49	48	+	2
50	49	-	4
51	49	-	6
52	50	-	2
