POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	42
1	2	+	56
2	2	+	57
3	2	+	52
4	3	+	56
5	5	-	42
6	7	-	110
7	7	-	112
8	7	-	114
9	7	-	116
10	12	-	36
11	12	-	38
12	15	-	46
13	4	-	60
14	16	+	88
15	16	+	90
16	16	+	92
17	17	+	54
18	17	+	56
19	18	+	138
20	19	-	44
21	21	-	36
22	21	-	37
23	23	+	114
24	23	+	115
25	23	+	94
26	23	+	116
27	23	+	98
28	23	+	122
29	23	+	123
30	23	+	102
31	23	+	104
32	23	+	106
33	24	-	114
34	24	-	116
35	26	+	64
36	27	-	66
37	28	+	74
38	28	+	76
39	28	+	78
40	28	+	80
41	30	-	60
42	30	-	62
43	30	-	64
44	33	+	124
45	33	+	126
46	33	+	128
47	33	+	130
48	34	+	36
49	35	-	78
50	35	-	80
51	36	-	140
52	36	-	142
53	36	-	144
54	36	-	146
55	36	-	148
56	36	-	150
57	36	-	152
58	36	-	154
59	37	+	92
60	37	+	94
61	38	-	44
62	40	-	82
63	40	-	84
64	40	-	86
65	40	-	88
66	42	+	240
67	42	+	242
68	42	+	244
69	42	+	246
70	43	-	62
71	43	-	64
72	43	-	74
73	44	-	62
74	44	-	64
75	44	-	66
76	45	+	68
77	46	+	70
78	41	-	58
79	46	+	72
80	48	+	88
81	48	+	103
82	48	+	92
83	49	-	114
84	49	-	116
