POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	6
1	2	+	28
2	2	+	29
3	3	+	6
4	5	-	6
5	7	-	20
6	7	-	21
7	9	-	8
8	10	-	6
9	12	-	6
10	13	-	14
11	15	-	6
12	4	-	17
13	16	+	6
14	17	+	8
15	18	+	15
16	19	-	8
17	21	-	6
18	23	+	18
19	23	+	17
20	23	+	11
21	24	-	8
22	24	-	21
23	25	-	6
24	26	+	6
25	27	-	8
26	28	+	12
27	28	+	13
28	30	-	16
29	30	-	14
30	33	+	47
31	33	+	49
32	33	+	31
33	34	+	6
34	35	-	10
35	35	-	12
36	36	-	22
37	36	-	23
38	36	-	16
39	37	+	22
40	37	+	23
41	38	-	21
42	40	-	6
43	42	+	40
44	42	+	41
45	43	-	12
46	43	-	13
47	44	-	16
48	44	-	18
49	44	-	19
50	45	+	6
51	46	+	22
52	46	+	23
53	48	+	22
54	48	+	10
55	49	-	12
56	49	-	21
57	50	-	6
