POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	10
1	2	+	24
2	2	+	25
3	3	+	14
4	3	+	15
5	5	-	13
6	6	+	12
7	7	-	10
8	7	-	14
9	7	-	15
10	9	-	10
11	10	-	8
12	12	-	14
13	12	-	15
14	13	-	16
15	13	-	18
16	15	-	8
17	17	+	10
18	18	+	8
19	19	-	10
20	21	-	8
21	23	+	14
22	23	+	19
23	24	-	12
24	24	-	14
25	25	-	21
26	26	+	8
27	27	-	12
28	27	-	14
29	28	+	8
30	29	-	10
31	32	+	8
32	33	+	32
33	33	+	34
34	33	+	36
35	34	+	13
36	35	-	14
37	35	-	16
38	36	-	25
39	36	-	20
40	37	+	14
41	37	+	16
42	38	-	18
43	38	-	19
44	39	-	8
45	40	-	10
46	40	-	14
47	40	-	15
48	41	-	8
49	42	+	30
50	42	+	32
51	42	+	34
52	42	+	36
53	42	+	38
54	43	-	8
55	44	-	13
56	45	+	8
57	46	+	10
58	48	+	14
59	48	+	16
60	49	-	16
61	49	-	18
62	50	-	8
