POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	49
1	2	+	61
2	2	+	63
3	2	+	65
4	3	+	77
5	5	-	51
6	7	-	125
7	7	-	127
8	7	-	129
9	7	-	131
10	12	-	47
11	12	-	49
12	15	-	57
13	4	-	79
14	16	+	105
15	16	+	107
16	16	+	109
17	17	+	65
18	17	+	67
19	18	+	194
20	18	+	195
21	19	-	61
22	21	-	39
23	21	-	41
24	23	+	125
25	23	+	146
26	23	+	147
27	23	+	129
28	23	+	131
29	23	+	133
30	23	+	135
31	23	+	137
32	23	+	139
33	23	+	141
34	23	+	143
35	24	-	147
36	24	-	149
37	26	+	75
38	27	-	83
39	28	+	91
40	28	+	93
41	28	+	95
42	28	+	97
43	30	-	75
44	30	-	77
45	30	-	79
46	33	+	151
47	33	+	153
48	33	+	155
49	33	+	157
50	34	+	43
51	35	-	99
52	35	-	101
53	36	-	173
54	36	-	175
55	36	-	177
56	36	-	179
57	36	-	181
58	36	-	183
59	36	-	185
60	36	-	187
61	37	+	109
62	37	+	111
63	38	-	49
64	40	-	101
65	40	-	103
66	40	-	105
67	40	-	107
68	42	+	301
69	42	+	303
70	42	+	305
71	42	+	307
72	43	-	79
73	43	-	81
74	43	-	83
75	44	-	75
76	44	-	77
77	44	-	79
78	45	+	77
79	46	+	97
80	41	-	65
81	46	+	99
82	48	+	113
83	48	+	115
84	48	+	134
85	48	+	135
86	49	-	127
87	49	-	129
