POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	48
1	3	+	49
2	3	+	24
3	5	-	41
4	6	+	20
5	23	+	111
6	7	-	52
7	9	-	72
8	9	-	73
9	10	-	20
10	12	-	22
11	13	-	38
12	13	-	40
13	13	-	94
14	15	-	32
15	15	-	33
16	16	+	30
17	17	+	59
18	18	+	44
19	18	+	46
20	18	+	48
21	30	-	32
22	30	-	84
23	30	-	85
24	18	+	57
25	18	+	103
26	18	+	157
27	19	-	22
28	24	-	131
29	25	-	44
30	25	-	46
31	25	-	48
32	25	-	50
33	26	+	22
34	26	+	24
35	26	+	29
36	27	-	65
37	27	-	34
38	28	+	28
39	29	-	20
40	32	+	14
41	33	+	99
42	33	+	121
43	34	+	18
44	35	-	38
45	35	-	39
46	35	-	76
47	35	-	102
48	35	-	103
49	36	-	66
50	36	-	68
51	36	-	124
52	36	-	125
53	37	+	87
54	37	+	44
55	38	-	30
56	4	-	26
57	4	-	59
58	39	-	14
59	40	-	30
60	40	-	32
61	41	-	57
62	42	+	230
63	42	+	186
64	42	+	187
65	42	+	232
66	42	+	332
67	42	+	333
68	21	-	33
69	42	+	226
70	42	+	116
71	43	-	58
72	43	-	59
73	45	+	40
74	46	+	74
75	46	+	75
76	48	+	100
77	48	+	102
78	48	+	36
79	48	+	38
80	49	-	56
81	49	-	58
82	50	-	20
