POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	38
1	1	+	40
2	2	-	54
3	2	-	56
4	3	+	52
5	3	+	60
6	3	+	61
7	4	+	34
8	5	-	32
9	6	-	46
10	9	+	240
11	9	+	242
12	9	+	244
13	9	+	246
14	9	+	248
15	9	+	250
16	10	+	68
17	10	+	70
18	13	-	44
19	14	+	54
20	14	+	56
21	16	+	142
22	16	+	144
23	16	+	146
24	16	+	148
25	19	-	70
26	19	-	72
27	19	-	74
28	20	+	188
29	20	+	190
30	20	+	192
31	20	+	194
32	20	+	222
33	20	+	223
34	21	-	70
35	22	+	26
36	23	-	126
37	23	-	128
38	23	-	130
39	23	-	132
40	23	-	134
41	23	-	136
42	24	-	60
43	24	-	62
44	24	-	64
45	24	-	66
46	24	-	68
47	26	-	132
48	26	-	134
49	26	-	136
50	26	-	138
51	27	+	114
52	27	+	116
53	27	+	118
54	27	+	120
55	28	-	56
56	30	+	158
57	30	+	160
58	30	+	162
59	30	+	164
60	30	+	166
61	30	+	168
62	30	+	170
63	31	+	94
64	31	+	96
65	31	+	114
66	31	+	115
67	31	+	100
68	32	+	40
69	33	-	96
70	33	-	98
71	34	+	84
72	35	+	82
73	35	+	84
74	36	-	104
75	36	-	106
76	37	-	100
77	37	-	102
78	38	-	56
79	39	-	178
80	39	-	180
81	39	-	182
82	40	+	116
83	40	+	118
84	40	+	120
85	40	+	122
86	42	-	78
87	42	-	80
88	42	-	82
89	42	-	84
90	42	-	86
91	45	-	66
92	45	-	68
93	46	-	66
94	49	+	84
95	49	+	86
