POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	3
1	2	-	3
2	3	+	3
3	4	+	3
4	5	-	3
5	6	-	3
6	7	-	3
7	8	-	3
8	9	+	7
9	9	+	9
10	9	+	12
11	9	+	13
12	10	+	5
13	10	+	7
14	13	-	3
15	14	+	3
16	16	+	7
17	16	+	9
18	16	+	11
19	18	-	3
20	19	-	9
21	19	-	11
22	20	+	9
23	20	+	12
24	20	+	13
25	21	-	3
26	22	+	3
27	23	-	7
28	23	-	9
29	24	-	3
30	26	-	7
31	26	-	9
32	26	-	11
33	27	+	5
34	27	+	7
35	28	-	7
36	30	+	7
37	30	+	9
38	30	+	11
39	31	+	5
40	31	+	7
41	32	+	4
42	32	+	5
43	33	-	5
44	33	-	7
45	34	+	5
46	34	+	7
47	35	+	5
48	35	+	7
49	36	-	5
50	36	-	7
51	37	-	4
52	37	-	5
53	38	-	5
54	38	-	7
55	39	-	9
56	39	-	16
57	39	-	17
58	39	-	13
59	39	-	15
60	40	+	3
61	41	+	3
62	42	-	5
63	42	-	7
64	45	-	3
65	46	-	5
66	46	-	7
67	48	+	5
68	49	+	3
69	50	-	5
