POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	4
1	2	-	4
2	4	+	4
3	5	-	4
4	6	-	6
5	8	-	4
6	9	+	14
7	9	+	16
8	9	+	18
9	9	+	20
10	10	+	8
11	10	+	10
12	13	-	4
13	16	+	12
14	16	+	18
15	16	+	19
16	16	+	28
17	16	+	30
18	16	+	31
19	18	-	4
20	19	-	12
21	19	-	14
22	20	+	14
23	20	+	18
24	21	-	4
25	22	+	8
26	22	+	9
27	23	-	10
28	23	-	12
29	24	-	8
30	24	-	9
31	26	-	12
32	26	-	16
33	27	+	13
34	27	+	10
35	28	-	10
36	30	+	30
37	30	+	32
38	30	+	33
39	30	+	16
40	30	+	18
41	31	+	8
42	31	+	10
43	32	+	10
44	32	+	11
45	32	+	8
46	33	-	16
47	33	-	17
48	33	-	10
49	34	+	8
50	34	+	10
51	35	+	8
52	36	-	8
53	36	-	10
54	37	-	6
55	37	-	8
56	38	-	10
57	39	-	28
58	39	-	42
59	39	-	43
60	39	-	30
61	39	-	44
62	39	-	45
63	39	-	22
64	39	-	24
65	39	-	26
66	40	+	14
67	40	+	15
68	41	+	4
69	42	-	10
70	42	-	12
71	45	-	4
72	46	-	8
73	46	-	10
74	48	+	10
75	48	+	11
76	49	+	6
77	49	+	10
78	49	+	11
79	50	-	6
