POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	18
1	2	-	32
2	2	-	34
3	3	+	32
4	3	+	34
5	4	+	18
6	5	-	18
7	6	-	30
8	7	-	22
9	9	+	128
10	9	+	130
11	9	+	132
12	9	+	134
13	9	+	136
14	9	+	138
15	10	+	44
16	10	+	46
17	13	-	16
18	14	+	36
19	14	+	38
20	16	+	78
21	16	+	80
22	16	+	82
23	16	+	84
24	18	-	20
25	19	-	50
26	19	-	52
27	20	+	98
28	20	+	100
29	20	+	102
30	20	+	104
31	21	-	26
32	22	+	22
33	23	-	82
34	23	-	84
35	23	-	86
36	23	-	88
37	23	-	90
38	24	-	40
39	24	-	42
40	24	-	48
41	24	-	49
42	26	-	74
43	26	-	76
44	26	-	78
45	26	-	80
46	27	+	58
47	27	+	60
48	27	+	62
49	28	-	32
50	30	+	100
51	30	+	102
52	30	+	104
53	30	+	110
54	30	+	111
55	30	+	108
56	31	+	58
57	31	+	60
58	31	+	62
59	31	+	64
60	32	+	26
61	33	-	50
62	33	-	52
63	34	+	56
64	35	+	50
65	35	+	52
66	36	-	44
67	36	-	46
68	36	-	48
69	37	-	48
70	37	-	50
71	38	-	42
72	39	-	88
73	39	-	90
74	39	-	92
75	40	+	52
76	40	+	54
77	40	+	56
78	40	+	58
79	41	+	26
80	42	-	48
81	42	-	50
82	42	-	52
83	42	-	54
84	42	-	56
85	45	-	38
86	45	-	40
87	46	-	36
88	46	-	38
89	49	+	56
90	49	+	58
91	50	-	22
