POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	20
1	2	-	42
2	2	-	43
3	3	+	36
4	4	+	20
5	5	-	36
6	5	-	37
7	6	-	34
8	7	-	24
9	9	+	142
10	9	+	144
11	9	+	146
12	9	+	148
13	9	+	206
14	9	+	207
15	9	+	152
16	9	+	154
17	9	+	156
18	10	+	50
19	13	-	26
20	13	-	27
21	13	-	22
22	14	+	40
23	16	+	86
24	16	+	106
25	16	+	107
26	16	+	95
27	16	+	116
28	16	+	117
29	16	+	92
30	18	-	22
31	19	-	54
32	20	+	108
33	20	+	110
34	20	+	114
35	20	+	116
36	20	+	118
37	21	-	28
38	21	-	30
39	21	-	32
40	23	-	92
41	23	-	94
42	26	-	82
43	26	-	84
44	26	-	86
45	26	-	98
46	26	-	99
47	27	+	64
48	27	+	146
49	27	+	147
50	27	+	70
51	28	-	34
52	28	-	36
53	30	+	112
54	30	+	114
55	30	+	116
56	31	+	66
57	31	+	68
58	32	+	28
59	33	-	56
60	33	-	58
61	33	-	60
62	34	+	60
63	34	+	62
64	35	+	96
65	35	+	97
66	35	+	56
67	36	-	50
68	36	-	52
69	36	-	54
70	37	-	52
71	37	-	54
72	37	-	56
73	37	-	58
74	38	-	44
75	39	-	112
76	39	-	96
77	39	-	98
78	39	-	210
79	39	-	211
80	39	-	102
81	39	-	104
82	40	+	96
83	40	+	64
84	40	+	66
85	40	+	94
86	40	+	95
87	41	+	28
88	41	+	30
89	42	-	58
90	45	-	42
91	45	-	44
92	46	-	74
93	46	-	76
94	46	-	77
95	48	+	22
96	49	+	60
97	49	+	62
98	50	-	26
