POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	26
1	1	+	27
2	2	-	39
3	2	-	41
4	3	+	39
5	3	+	41
6	4	+	23
7	5	-	23
8	6	-	37
9	9	+	159
10	9	+	161
11	9	+	163
12	9	+	165
13	9	+	167
14	9	+	169
15	10	+	53
16	10	+	55
17	13	-	25
18	14	+	43
19	14	+	45
20	16	+	97
21	16	+	99
22	16	+	101
23	16	+	103
24	19	-	57
25	19	-	60
26	19	-	61
27	20	+	123
28	20	+	130
29	20	+	131
30	20	+	127
31	20	+	129
32	21	-	35
33	22	+	25
34	23	-	97
35	23	-	99
36	23	-	101
37	23	-	103
38	23	-	116
39	23	-	117
40	24	-	51
41	24	-	53
42	24	-	58
43	24	-	59
44	24	-	57
45	26	-	91
46	26	-	93
47	26	-	95
48	26	-	97
49	27	+	73
50	27	+	75
51	27	+	78
52	27	+	79
53	28	-	39
54	30	+	130
55	30	+	131
56	30	+	121
57	30	+	123
58	30	+	125
59	30	+	127
60	30	+	129
61	31	+	71
62	31	+	73
63	31	+	75
64	31	+	77
65	32	+	31
66	33	-	63
67	33	-	65
68	34	+	65
69	35	+	59
70	35	+	61
71	36	-	57
72	36	-	59
73	36	-	61
74	37	-	64
75	37	-	65
76	37	-	63
77	38	-	47
78	39	-	107
79	39	-	109
80	39	-	111
81	40	+	71
82	40	+	73
83	40	+	75
84	40	+	77
85	42	-	61
86	42	-	63
87	42	-	65
88	42	-	67
89	42	-	69
90	45	-	47
91	45	-	49
92	46	-	49
93	49	+	65
94	49	+	67
95	50	-	29
