POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	47
1	3	+	71
2	3	+	73
3	3	+	75
4	5	-	49
5	6	+	41
6	7	-	123
7	9	-	65
8	10	-	45
9	12	-	45
10	13	-	97
11	13	-	99
12	13	-	101
13	15	-	53
14	15	-	55
15	16	+	101
16	16	+	103
17	17	+	61
18	17	+	63
19	18	+	159
20	18	+	192
21	18	+	174
22	18	+	175
23	18	+	196
24	18	+	197
25	18	+	167
26	30	-	71
27	30	-	73
28	50	-	45
29	18	+	178
30	18	+	179
31	18	+	171
32	19	-	55
33	19	-	57
34	19	-	59
35	24	-	137
36	24	-	160
37	24	-	156
38	24	-	157
39	24	-	143
40	24	-	145
41	25	-	113
42	25	-	115
43	25	-	117
44	25	-	119
45	26	+	71
46	26	+	73
47	27	-	87
48	27	-	88
49	27	-	89
50	27	-	81
51	28	+	89
52	29	-	45
53	32	+	25
54	33	+	147
55	33	+	149
56	34	+	41
57	35	-	96
58	35	-	97
59	35	-	95
60	36	-	169
61	36	-	171
62	37	+	105
63	37	+	107
64	4	-	77
65	39	-	40
66	39	-	41
67	40	-	95
68	40	-	97
69	42	+	277
70	42	+	279
71	42	+	281
72	42	+	283
73	42	+	285
74	42	+	287
75	42	+	289
76	42	+	291
77	42	+	293
78	42	+	295
79	42	+	297
80	43	-	77
81	44	-	73
82	45	+	75
83	46	+	89
84	46	+	91
85	46	+	93
86	48	+	107
87	48	+	109
88	48	+	111
89	49	-	123
